image_name,target
ISIC_0052060,0
ISIC_0052349,0
ISIC_0058510,0
ISIC_0073313,0
ISIC_0073502,1
ISIC_0074618,1
ISIC_0076801,0
ISIC_0077586,1
ISIC_0082004,1
ISIC_0082785,0
ISIC_0085332,0
ISIC_0087243,0
ISIC_0088167,1
ISIC_0089356,0
ISIC_0090283,1
ISIC_0092481,0
ISIC_0095455,0
ISIC_0095790,0
ISIC_0097719,0
ISIC_0099348,1
ISIC_0101040,1
ISIC_0101383,0
ISIC_0105104,1
ISIC_0108196,0
ISIC_0112420,1
ISIC_0114232,0
ISIC_0115798,0
ISIC_0116844,0
ISIC_0126432,0
ISIC_0131485,0
ISIC_0131912,0
ISIC_0131978,0
ISIC_0139322,1
ISIC_0142066,1
ISIC_0143109,1
ISIC_0148210,1
ISIC_0148937,0
ISIC_0150213,1
ISIC_0152553,0
ISIC_0153127,0
ISIC_0154289,0
ISIC_0155813,1
ISIC_0155983,1
ISIC_0157088,0
ISIC_0158761,0
ISIC_0161963,1
ISIC_0165178,0
ISIC_0165230,0
ISIC_0165615,0
ISIC_0165617,1
ISIC_0165674,0
ISIC_0165928,1
ISIC_0166561,0
ISIC_0168125,0
ISIC_0169378,1
ISIC_0169575,1
ISIC_0169906,1
ISIC_0171865,1
ISIC_0172678,0
ISIC_0174800,0
ISIC_0175014,0
ISIC_0175798,1
ISIC_0176152,0
ISIC_0177083,1
ISIC_0178235,1
ISIC_0178258,1
ISIC_0178428,0
ISIC_0178741,0
ISIC_0180057,0
ISIC_0182213,1
ISIC_0183334,0
ISIC_0183449,1
ISIC_0183658,0
ISIC_0183771,0
ISIC_0186715,1
ISIC_0187786,0
ISIC_0188485,0
ISIC_0191895,0
ISIC_0192184,0
ISIC_0192807,0
ISIC_0193289,1
ISIC_0194115,0
ISIC_0195744,0
ISIC_0195995,0
ISIC_0196159,1
ISIC_0196622,0
ISIC_0196807,0
ISIC_0197182,1
ISIC_0197440,1
ISIC_0197860,0
ISIC_0198376,0
ISIC_0198622,0
ISIC_0199195,1
ISIC_0199718,0
ISIC_0199780,0
ISIC_0200120,1
ISIC_0204399,0
ISIC_0204875,0
ISIC_0205627,0
ISIC_0206261,0
